STT,T1,L1,H1,S1,V1,X1,D1,N1,T2,L2,H2,S2,V2,X2,D2,N2,T3,L3,H3,S3,V3,X3,D3,N3,T4,L4,H4,S4,V4,X4,D4,N4,T5,L5,H5,S5,V5,X5,D5,N5,T6,L6,H6,S6,V6,X6,D6,N6,GT,DT,KV,DH1,DH2,DH3,KT
68,4.6,4.9,5.3,5.7,4.5,5,7.3,2.8,7.2,6.5,4.9,6.3,4,6.5,7.5,3.8,7.6,4.9,5.1,5.1,4.6,5.3,6.7,4.1,6.2,5.8,6.7,6.9,5.7,5.8,7.1,4.2,8,4.3,7.7,7.4,4.7,4.5,6.6,5.3,7.2,5,8,6.3,5.5,5.7,5.8,4.6,M,,1,4.5,4.5,5.5,B
69,7.3,6.4,6.9,7.5,6.2,8.4,7.6,8.1,8.1,7,7.1,8.3,6.8,6.9,9.2,8.7,8.2,6.8,7.7,8.6,7.3,8.3,7.8,8.2,7.9,7.7,7.1,9.2,7.6,7.8,8.4,7.8,8.4,8.4,7.3,7.5,7.2,7.7,7.6,8.6,8.1,8,8.1,7.1,8,8.8,7.9,7.9,M,,1,3.75,6,4.5,B
70,6,5.9,6,5.3,4.8,7.1,5.8,5.2,6.2,5.6,7.7,7.2,5.5,5.9,6.6,7.3,5.1,4.4,5.4,6.9,4.8,4,4.5,4.8,5.1,4.2,5.3,5.2,6,5.4,6.5,5.3,3.5,3.3,4.8,4.3,4.8,5.9,4.6,4,5.6,7.3,5,6.2,5.4,6.7,4.4,4.9,M,,1,2.25,3.75,6.25,B
71,5.8,6.3,6,6.5,6.7,7.6,6.7,5.9,7.6,7.5,5.6,8.1,6.3,6.3,7.1,7.1,6.6,6.7,4,7.3,6.1,5.2,7.8,6,5.3,7.8,6.6,7.1,6.8,6.8,6.8,6.3,6.5,7,6.9,5.7,7,6.6,6.6,5.7,8.2,7.4,6,7.6,7.3,7.3,7.8,6.8,F,,2,2.25,4.5,7.25,A
72,3,5.1,3,6.4,4.3,4.8,2,4.5,4.8,4.1,3.5,6.2,6.7,5.4,6.7,4.1,4.7,4.7,6.2,6.1,6.6,6.6,4.6,4.6,5,5.1,5.6,6.2,6.4,7.1,7.3,4.6,6.8,4.9,6.1,4.7,5.5,5.9,6.5,4.6,9,5.7,6,6.1,6.2,8.1,5.8,5.1,F,,1,3.5,4.75,3.5,B
73,5.5,6.6,7.2,7.6,5.5,6.7,6.7,5.2,6,6.8,6.3,7.2,4.9,4.8,6.6,5.3,4.6,5.5,5.5,7.1,5.2,6.1,7.1,5.4,5.2,4.7,5.8,6.3,5.7,5.6,5.2,5.3,5.2,5.5,6.3,6.6,6.1,6.5,5.3,5.2,6.1,6.2,7.3,7.8,5.5,5.9,6.3,5.5,M,,1,1.5,4.5,5.5,A
74,5.2,3.1,4.7,5.8,6.1,3.1,4.8,4.4,5.5,5.9,5.7,6.3,5.5,4.8,6.1,5.1,4.7,6.3,5,6.1,5.9,5.8,6.1,5.8,4.3,5.9,5.5,7,6.7,4.7,6.1,6.2,4.7,6,5.5,4.7,5.8,2.9,5.4,5.1,5.7,5.4,5.7,4.7,5.7,5.3,5.3,4.8,F,,1,2,4.5,3.75,A
75,4.2,5.6,5,8.4,6.3,8.2,6.9,3.9,5.5,6.8,7.7,6.9,6.8,8,6.4,5.1,5.1,6.3,6.1,7.8,6.1,6.4,6.9,4.4,6.4,8.1,7.8,8,6.2,8.1,8.3,5.5,8,6.4,6.1,6.2,6,6.3,5.9,5.5,8.5,6.3,5.7,7.2,7.1,6.9,7.3,5.5,F,,1,5.25,3.5,4.5,A
76,5.5,4,4.3,5.6,3.3,5.9,2.8,3.4,6,4.3,3.2,4.5,3.7,4.9,4.7,3.2,2.9,2.8,3.5,4.1,4.1,3.5,5.1,4.8,4.2,3.6,3.5,6.3,5.2,6.6,5.4,4.6,5.5,5,3.9,5.1,4.2,5.4,4.9,3.7,4,4.4,4.7,6.1,4.1,7.6,5.4,3.5,M,,1,4.75,3.5,3.25,A
77,5.4,6.8,7.1,7.2,5.6,6.8,6.7,5.3,6,6.2,5.9,7.1,6.3,7.8,7.9,6,6.9,5.8,5.4,6.3,4.8,7.3,6.4,4.4,6.9,6.6,6.9,8.8,6.9,7.4,8.4,6,6.7,7.4,6.8,6.6,5.3,7,6.3,5.1,7.5,8,6.7,7,5.8,7.1,7.9,4.7,F,,2NT,3.25,4,3.5,A
78,5.2,3.6,3.8,7.1,5.3,4.8,6.4,4.5,6.8,5.5,5.3,6.4,5.3,6.7,6.8,6.2,6.5,4.7,5.3,6.4,4.7,6.2,6.3,3.6,5.8,2.7,6.6,4,5.1,5.9,8,3.5,6.4,6.4,5.7,5.8,4.3,5.2,4.6,5.4,7.8,6.2,7.1,6.5,5.3,6.4,5.7,6.6,M,,1,3.25,4,4,B
79,5.3,4.3,5.9,7.7,6.8,6.9,7,5.6,5.2,5,6.4,6.1,5.8,7.6,6.1,3.9,5,5.5,4.4,7.6,6.1,6,6,4.9,3.5,5.2,5.4,6.9,6.2,5.2,5.7,4.5,5.2,5.7,4.7,4.9,5,5.2,5.6,7.6,5.2,5.5,5.4,5.6,4.7,4.5,5.6,6,M,,1,3.5,4.5,4.25,B
80,4.8,3.9,5.5,4.9,5.6,4.1,5.8,5.1,5.1,4,4.5,5.6,5.6,5.9,7.2,4.4,5.7,4.9,5,4.6,5,4.8,7,4.1,5,5.3,5.1,6.3,5.8,6.8,5.6,4.7,6.7,4.8,5,5.5,5.8,4.4,4.6,4.1,6.6,6.6,5.9,6.9,7.2,3.8,5.1,4.9,F,,2NT,2,3.5,5.5,A1
81,8.2,6.5,5.1,6.1,6.6,8.7,7.1,6.8,9.2,6.9,5.9,7.3,6.2,8.5,6.7,6.9,9.3,6.8,6.2,6.9,6.3,6.6,7.5,5.7,8.1,7,6,6.1,7.1,7.5,7.6,6.8,8.7,7,7.3,5.9,6.7,4.9,5,5,9.3,7.1,6.6,8.1,7.7,6.6,7.3,5.3,F,,2NT,4.5,3.5,4.75,A
82,5.7,5,4.7,5.7,4.7,5.5,5.2,4.2,3.9,5.9,4.7,5.3,4.8,6,4.6,4.7,5.7,5.9,4.5,5.9,4.8,3.7,6.3,5.2,4.6,4.4,4.7,6.1,5,5.3,4.9,5.4,6.8,6.1,4.6,5.8,5.3,5.1,4.8,5,7.3,7.5,5,6.4,6.2,5.4,5.4,6.5,M,,1,2.5,4.5,4.25,A
83,5.1,5.9,5.9,4.5,6.2,5.3,6.5,4.7,5,6.1,6.9,9.5,6.8,7,7.1,4.8,7.4,6.7,7.1,8.1,6.5,8.1,7.6,5.4,6,8.1,6.1,8.5,6.7,7,8.1,5.3,6.8,5.9,7.5,6.3,7.1,6.1,6.8,6.1,7.3,5.4,7.8,7.5,7.4,7.3,7.5,6.3,F,,1,3.25,6,4.25,B
84,5.9,5.7,7.1,6.7,6.5,8,8.1,4.3,7.4,7.1,5.6,7.6,7.2,9.3,7.2,5.1,5.5,6.4,6.9,6.9,6.9,9.8,6.2,6.4,7,6.9,6.5,7.8,7.1,9.2,7.9,6.1,5.5,6.3,7.1,7.6,6.2,7.8,7.5,6.5,8.2,7.5,7.2,7.3,6.8,9.6,7.3,5.8,F,,1,1.75,4.75,6,B
85,8.4,7.4,6,7.8,6.3,7.2,8.5,6,9.3,7,8.5,8.8,6.9,6.9,7.3,6.8,7.4,7,8,7.5,7.1,6.7,8.4,5.8,7.7,6.7,8.2,7.5,7.5,6.1,8.1,6.5,8.2,5.9,7.9,8.6,6.1,5.1,7.2,6.1,8.6,7.8,8.9,8.5,6.7,5.5,7.9,6.6,M,,1,6.5,4.5,8,A
86,7.2,6.6,6.8,6.7,7.1,6.4,7.2,6,7.9,8.1,6.6,7.5,7.8,7.4,7.6,7.1,7.3,6.8,5.7,7.6,6.6,8.4,7.4,5.1,8.4,8.1,6.4,8.8,6.3,8.3,7.7,6.5,7.8,7.1,8.5,6.5,7.3,7,7.8,5.2,6.9,6.9,7.1,7.3,7,8.1,6.4,6,F,,2NT,3.75,5.75,4.75,B
87,6.3,6.5,8.1,7.7,6.7,5.4,7,5.4,6.3,6.7,6.9,7.4,6.6,5.6,7.1,5.7,5.2,7.7,6,7.8,7.6,5.8,6.2,5.6,6.1,7,7.2,7.2,7.3,6,7.1,5.5,6,7.3,8,5.8,6.6,7.3,7.2,4.7,5.7,7.9,6.9,6,7.4,6.9,6.6,5.2,M,,2NT,2,4.75,6.5,A
88,7.3,4.3,5.3,5.8,4.9,3.7,5.6,5.3,5.9,6,6.3,5.9,5,6.6,6.6,4.6,7.1,6.3,7.3,6.7,6.5,5.4,6.7,5.5,7.7,5.4,7.5,7.1,6.8,5.8,6.8,6.5,7.9,5.9,5.9,5.9,5.7,6.1,6.8,6.7,6.6,6.4,6.9,5.7,6.4,6.4,7.2,6.2,M,,1,1.75,4,4.5,A
89,5.2,6,4.7,6.2,3.9,6.6,4.9,3.7,6.5,6.3,6.8,6.9,5.8,7.9,7,6.3,7.4,5.3,5.6,6.9,5,6.2,6.5,5.2,7.4,6,6.2,4.5,5.9,7.2,7,6.1,5.4,4.3,4.8,4.3,5.2,6.4,6.3,5.6,6.6,8,6.8,3.6,5,6.2,6,6.2,M,,1,3.75,4,3.5,A
90,5.7,4.6,5.9,5.7,4.7,4.3,4.4,5.5,5.6,4.7,5.4,5.7,5.1,5.9,5.6,4.5,4.7,4.5,6,5.6,5.1,5.7,5.9,4.3,5.1,4.4,6,6.1,5.3,7.1,5,5.6,5.6,5.2,6,5.2,5.7,4.3,4.9,4.3,7.2,6.5,6.3,5.7,4.6,5.4,4.7,4.7,M,,1,2,5.5,5.5,A
91,8.1,7.7,9.1,8.5,6.1,8.6,8.8,7.3,8.8,8.3,8.4,9.3,7.1,8.9,8.8,7.2,9.2,8.4,8.2,9,6.3,8.4,8.8,7.1,8.8,9.1,7.7,9.1,7,7.9,7.3,7.5,8.9,7.2,7.4,7.8,6.6,7.6,8.1,7.6,8.5,9.2,7.5,8.6,7.9,8.3,8.7,7.8,M,,2,6.25,4,6.5,A
92,7.8,6.5,6.7,5.4,6.2,4.8,5.9,4.4,8.9,6.9,6.2,7.5,6.2,4.4,6.4,4.7,8.5,8,5.2,6.7,5.6,6,6.9,6.7,7.8,7.4,5,6.4,6.4,6.1,6.6,5.9,8.6,7.6,6.5,6.6,5.1,6.4,6.4,5.5,9.4,8.2,7.1,8.2,6.3,7.2,7.4,7,M,,2NT,4.75,4.75,4.5,A
93,5,6.6,6.5,7.2,5.8,6.7,6.4,6,6.8,6.1,6.5,8.6,5.9,4.9,6.3,7.5,7.2,6.8,5.8,6.2,5.7,7.2,6.6,6.4,6.1,5.8,5.7,7.9,5.7,5.9,5.3,7.3,8,7.1,6.9,6.9,6.7,5.6,5.4,5.6,7.5,6.3,6.7,6.8,7.2,5.9,6.7,5.8,M,,1,3.25,5.25,4.25,A
94,5.2,5.2,6.8,7.9,6.6,8.9,7.6,5.3,6.8,5.8,5.8,8.9,7,8.8,8.6,5.7,6.7,6,5.5,7.3,6.9,9.1,8.6,5.1,6.6,6.7,7.9,7.7,6.9,8.7,7.6,6.7,7.3,5.4,5.7,6.8,6.3,7.4,7.5,5.4,7.3,6.5,6.7,5.8,7.3,8.7,7.8,5,M,,1,3.5,4.25,5,A
95,5.8,5.9,7.6,6.1,5.3,8.1,6.1,5,6.4,7.2,7.7,7.5,5.3,8.4,6.8,6.1,7.3,7,7.9,7.3,5.7,8.6,6.8,5.1,7.1,7.3,8.4,7.3,5.7,8.7,7,5.6,7.3,6.8,6.5,8,5.9,5.3,7.4,6.5,6.7,8.1,7.1,6.8,6,7.3,6.8,5.3,M,,1,4.25,2.5,4.75,A
96,8.6,6.9,7.4,8.8,7.6,5.8,7.3,5.7,8.9,6.8,6.5,7.3,7,7.3,6.9,7.6,7.7,5.6,5.9,7.7,6.8,8.1,6.6,7.5,6.7,6.8,6,8.3,7.5,7.1,6.8,7.8,7.9,6.7,7.2,6.1,7.2,5.3,5.2,5.2,6.6,6.9,7.4,7,7.6,6.3,6.1,6.2,F,,1,5.25,1.5,6.25,C
97,3.7,5.4,6,5.1,5.5,3.9,6.1,4.4,4.1,4.8,5.1,4.7,5.9,6.9,4.6,5.4,3.1,3.1,5.3,5.8,5.6,5.4,6.6,4.2,3.4,4.9,5.9,6.9,5.6,6.4,5.7,4.3,5.5,4.7,4.6,3.4,6.9,7.6,7.4,4.9,5.7,7.7,5,7,6.5,7.9,7.5,4.4,F,,1,5.25,3.75,4.75,C
98,8.8,5.5,7.4,7.7,6.2,7.3,8.1,4.5,9.5,7.3,6,8.4,7,8.4,8.8,6.5,9.5,6.6,6.4,7.6,7,9.6,9.3,6.7,8.5,6.9,5.8,8.4,8,8.9,9.6,7.1,9,7.1,6.7,5.7,6.9,8.6,8.6,5.9,8.5,7.1,6.2,8.6,7,9.6,8.4,5.8,M,,2NT,7,8,4,C
99,2.7,1.8,3.4,5.3,4.5,7.9,4.9,3.8,2.8,5.7,5.1,5,5.5,6.6,3.9,4.3,6.2,6.9,7.6,6.3,4.7,7.4,5.9,5.7,5.2,5.1,6.8,5.6,3.8,5.9,6.7,4.4,4.1,5.3,5.7,4.6,5,5.9,5.3,4.5,4.3,5.6,6.3,4.7,5,6.6,5.2,5.9,M,,1,5,3.5,5.5,C
100,4.1,5.2,4.9,5.3,5.5,5.4,7.2,5.4,4.4,6.4,4.8,7.2,6,6.3,6.8,4.9,6,4.9,4.2,6.4,5.7,6.8,7.1,6.2,4.3,4.9,5.3,6.5,5.7,6.8,7.4,5.8,5.6,6.2,6,4.7,5.7,7.9,6.9,4.7,5.1,6.4,5.9,5.4,6.3,5.6,6.6,5.8,M,,2NT,5.25,2.5,4.25,C
